project_id,dimension,dimension_value,count,within_project_share
396867188,target_entity_type,GitHub_GenSer_Other_Links,370,0.15658061785865426
396867188,target_entity_type,Issue,716,0.30300465509944985
396867188,target_entity_type,IssueComment,20,0.008463817181548879
396867188,target_entity_type,PullRequest,707,0.29919593736775285
396867188,target_entity_type,PullRequestReviewComment,1,0.00042319085907744394
396867188,target_entity_type,Release,5,0.0021159542953872196
396867188,target_entity_type,Repo,334,0.14134574693186627
396867188,target_entity_type,Tag,1,0.00042319085907744394
41349039,target_entity_type,Branch_Tag_GHDir,1,0.00011821728336682824
41349039,target_entity_type,Commit,1099,0.12992079442014423
41349039,target_entity_type,GitHub_Files_FileChanges,64,0.007565906135477007
41349039,target_entity_type,GitHub_GenSer_Other_Links,232,0.02742640974110415
41349039,target_entity_type,Gollum,1,0.00011821728336682824
41349039,target_entity_type,Issue,535,0.06324624660125311
41349039,target_entity_type,IssueComment,41,0.004846908618039957
41349039,target_entity_type,PullRequest,6324,0.7476061000118217
41349039,target_entity_type,PullRequestReview,1,0.00011821728336682824
41349039,target_entity_type,PullRequestReviewComment,1,0.00011821728336682824
41349039,target_entity_type,Release,1,0.00011821728336682824
41349039,target_entity_type,Repo,158,0.01867833077195886
41349039,target_entity_type,Tag,1,0.00011821728336682824
41986369,target_entity_type,Branch,10,7.138624958060579e-05
41986369,target_entity_type,Branch_Tag_GHDir,26,0.00018560424890957505
41986369,target_entity_type,Commit,85741,0.612072842529072
41986369,target_entity_type,GitHub_Files_FileChanges,15014,0.10717931512032153
41986369,target_entity_type,GitHub_GenSer_Other_Links,918,0.006553257711499611
41986369,target_entity_type,Issue,11678,0.08336486226023143
41986369,target_entity_type,IssueComment,4799,0.034258261173732714
41986369,target_entity_type,PullRequest,15119,0.10792887074091788
41986369,target_entity_type,PullRequestReview,6449,0.04603699235453267
41986369,target_entity_type,PullRequestReviewComment,21,0.00014991112411927215
41986369,target_entity_type,Release,9,6.424762462254521e-05
41986369,target_entity_type,Repo,297,0.0021201716125439918
41986369,target_entity_type,Tag,2,1.4277249916121158e-05
422821402,target_entity_type,Branch_Tag_GHDir,72,0.011034482758620689
422821402,target_entity_type,Commit,35,0.0053639846743295016
422821402,target_entity_type,GitHub_Files_FileChanges,573,0.08781609195402298
422821402,target_entity_type,GitHub_GenSer_Other_Links,242,0.03708812260536398
422821402,target_entity_type,Gollum,2,0.0003065134099616858
422821402,target_entity_type,Issue,1759,0.26957854406130266
422821402,target_entity_type,IssueComment,50,0.007662835249042145
422821402,target_entity_type,PullRequest,3086,0.47295019157088125
422821402,target_entity_type,PullRequestReview,4,0.0006130268199233716
422821402,target_entity_type,PullRequestReviewComment,46,0.007049808429118774
422821402,target_entity_type,Release,7,0.0010727969348659004
