project_id,repo_name,out_degree,out_strength,seed_to_seed_relation_count,seed_to_seed_weight,seed_to_expanded_relation_count,seed_to_expanded_weight,target_diversity,source_concentration_hhi,top_target_weight_share
31006158,apache/ignite,8,11,1,1,7,10,8,0.1900826446280991,0.3636363636363636
79901405,objectbox/objectbox-java,5,11,0,0,5,11,5,0.256198347107438,0.3636363636363636
50229487,apache/lucene-solr,2,11,1,10,1,1,2,0.8347107438016528,0.9090909090909092
453191009,ostafen/clover,5,10,1,2,4,8,5,0.26,0.4
176278485,sqlite/sqlite,4,10,0,0,4,10,4,0.42,0.6
5761553,oetiker/rrdtool-1.x,2,10,0,0,2,10,2,0.8200000000000001,0.9
684046299,OpenTenBase/OpenTenBase,2,10,0,0,2,10,2,0.8200000000000001,0.9
52507351,diennea/herddb,6,9,1,1,5,8,6,0.2098765432098765,0.3333333333333333
9074548,orbisgis/h2gis,6,9,1,3,5,6,6,0.2098765432098765,0.3333333333333333
6427744,Softmotions/ejdb,4,9,0,0,4,9,4,0.2839506172839506,0.3333333333333333
22475123,amark/gun,8,8,0,0,8,8,8,0.125,0.125
143253020,microsoft/FASTER,7,8,0,0,7,8,7,0.15625,0.25
23405758,google/leveldb,7,8,1,1,6,7,7,0.15625,0.25
441299511,reductstore/reductstore,6,8,0,0,6,8,6,0.21875,0.375
201403923,activeloopai/deeplake,5,8,0,0,5,8,5,0.3125,0.5
206403,apache/jackrabbit,5,8,1,1,4,7,5,0.21875,0.25
87414843,hyrise/hyrise,6,7,0,0,6,7,6,0.183673469387755,0.2857142857142857
31976266,apache/asterixdb,5,7,0,0,5,7,5,0.2244897959183673,0.2857142857142857
496505424,apache/incubator-horaedb,5,7,0,0,5,7,5,0.2653061224489795,0.4285714285714285
28738447,apache/kylin,4,7,1,1,3,6,4,0.3061224489795918,0.4285714285714285
432844875,orioledb/orioledb,3,7,0,0,3,7,3,0.3877551020408163,0.4285714285714285
298920362,oracle/nosql-java-sdk,1,7,0,0,1,7,1,1.0,1.0
18351848,typicode/lowdb,6,6,0,0,6,6,6,0.1666666666666666,0.1666666666666666
207663235,cmu-db/bustub,5,6,1,1,4,5,5,0.2222222222222222,0.3333333333333333
393235957,risinglightdb/risinglight,5,6,1,1,4,5,5,0.2222222222222222,0.3333333333333333
8039659,kairosdb/kairosdb,5,6,1,1,4,5,5,0.2222222222222222,0.3333333333333333
316690542,MonetDB/MonetDB,4,6,0,0,4,6,4,0.3333333333333333,0.5
52080367,CUBRID/cubrid,4,6,0,0,4,6,4,0.3333333333333333,0.5
81411018,microsoft/GraphEngine,3,6,0,0,3,6,3,0.5,0.6666666666666666
37285717,pilgr/Paper,2,6,0,0,2,6,2,0.5555555555555556,0.6666666666666666
865412,OpenTSDB/opentsdb,5,5,0,0,5,5,5,0.2,0.2
266515876,armink/FlashDB,4,5,0,0,4,5,4,0.28,0.4
323389945,logicalclocks/rondb,4,5,0,0,4,5,4,0.28,0.4
628503457,jdagdelen/hyperDB,4,5,0,0,4,5,4,0.28,0.4
66783145,couchbase/couchbase-lite-core,4,5,0,0,4,5,4,0.28,0.4
11654790,techfort/LokiJS,3,5,2,3,1,2,3,0.3600000000000001,0.4
385356389,vmware/splinterdb,3,5,0,0,3,5,3,0.44,0.6
7357595,zopefoundation/ZODB,3,5,0,0,3,5,3,0.3600000000000001,0.4
20537104,cayleygraph/cayley,3,4,0,0,3,4,3,0.375,0.5
50594316,senx/warp10-platform,3,4,1,1,2,3,3,0.375,0.5
606800919,firstbatchxyz/hollowdb,3,4,0,0,3,4,3,0.375,0.5
91593042,bloomberg/comdb2,3,4,0,0,3,4,3,0.375,0.5
52420005,griddb/griddb,2,4,0,0,2,4,2,0.625,0.75
97518356,dremio/dremio-oss,2,4,0,0,2,4,2,0.625,0.75
108110,mongodb/mongo,3,3,0,0,3,3,3,0.3333333333333333,0.3333333333333333
129072319,CovenantSQL/CovenantSQL,3,3,0,0,3,3,3,0.3333333333333333,0.3333333333333333
223462217,resilientdb/resilientdb,3,3,0,0,3,3,3,0.3333333333333333,0.3333333333333333
278320002,estraier/tkrzw,3,3,0,0,3,3,3,0.3333333333333333,0.3333333333333333
7561862,ideawu/ssdb,3,3,2,2,1,1,3,0.3333333333333333,0.3333333333333333
166387176,polypheny/Polypheny-DB,2,3,0,0,2,3,2,0.5555555555555556,0.6666666666666666
67904342,Expensify/Bedrock,2,3,1,1,1,2,2,0.5555555555555556,0.6666666666666666
387622288,elliotchance/vsql,1,3,0,0,1,3,1,1.0,1.0
597066476,tontinton/dbeel,1,3,0,0,1,3,1,1.0,1.0
143436277,baidu/BaikalDB,2,2,0,0,2,2,2,0.5,0.5
197858776,textileio/go-threads,2,2,0,0,2,2,2,0.5,0.5
320459354,bytedance/terarkdb,2,2,0,0,2,2,2,0.5,0.5
57401138,bitnine-oss/agensgraph,2,2,0,0,2,2,2,0.5,0.5
64404140,tidwall/redcon,2,2,0,0,2,2,2,0.5,0.5
664816265,scratchdata/ScratchDB,2,2,0,0,2,2,2,0.5,0.5
722854801,oasysai/oasysdb,2,2,1,1,1,1,2,0.5,0.5
738338,NEventStore/NEventStore,2,2,0,0,2,2,2,0.5,0.5
39519916,percona/percona-server-mongodb,1,2,1,2,0,0,1,1.0,1.0
51290852,bigchaindb/bigchaindb,1,2,0,0,1,2,1,1.0,1.0
116522453,akrylysov/pogreb,1,1,0,0,1,1,1,1.0,1.0
138411034,genjidb/genji,1,1,0,0,1,1,1,1.0,1.0
183929744,erikgrinaker/toydb,1,1,0,0,1,1,1,1.0,1.0
184227406,tikv/agatedb,1,1,0,0,1,1,1,1.0,1.0
23013460,lsst/qserv,1,1,0,0,1,1,1,1.0,1.0
321853986,Tencent/Tendis,1,1,1,1,0,0,1,1.0,1.0
345982729,GreatSQL/GreatSQL,1,1,0,0,1,1,1,1.0,1.0
34839383,apache/geode,1,1,0,0,1,1,1,1.0,1.0
416174776,pysonDB/pysonDB-v2,1,1,0,0,1,1,1,1.0,1.0
429630067,marsupialtail/quokka,1,1,0,0,1,1,1,1.0,1.0
509396909,lingo-db/lingo-db,1,1,0,0,1,1,1,1.0,1.0
534109388,EuclidOLAP/EuclidOLAP,1,1,0,0,1,1,1,1.0,1.0
590507334,StereoDB/StereoDB,1,1,0,0,1,1,1,1.0,1.0
735981,xapian/xapian,1,1,0,0,1,1,1,1.0,1.0
8103021,Netflix/EVCache,1,1,0,0,1,1,1,1.0,1.0
111333972,arun1729/cog,0,0,0,0,0,0,0,0.0,0.0
124315604,aerospike/aerospike-server,0,0,0,0,0,0,0,0.0,0.0
129436009,rakibtg/SleekDB,0,0,0,0,0,0,0,0.0,0.0
131763823,quoll/asami,0,0,0,0,0,0,0,0.0,0.0
147880351,njaard/sonnerie,0,0,0,0,0,0,0,0.0,0.0
15001136,etoile/CoreObject,0,0,0,0,0,0,0,0.0,0.0
160528020,mateusfreira/nun-db,0,0,0,0,0,0,0,0.0,0.0
170496871,gridgain/gridgain,0,0,0,0,0,0,0,0.0,0.0
18800032,tonsky/datascript,0,0,0,0,0,0,0,0.0,0.0
19271154,JetBrains/xodus,0,0,0,0,0,0,0,0.0,0.0
2662146,patx/pickledb,0,0,0,0,0,0,0,0.0,0.0
26774602,proullon/ramsql,0,0,0,0,0,0,0,0.0,0.0
26917250,pkumod/gStore,0,0,0,0,0,0,0,0.0,0.0
331747853,microsoft/Extensible-Storage-Engine,0,0,0,0,0,0,0,0.0,0.0
33275300,cachelot/cachelot,0,0,0,0,0,0,0,0.0,0.0
341208515,edgelesssys/edgelessdb,0,0,0,0,0,0,0,0.0,0.0
371172777,kelindar/column,0,0,0,0,0,0,0,0.0,0.0
3766330,pentaho/mondrian,0,0,0,0,0,0,0,0.0,0.0
474070793,SnellerInc/sneller,0,0,0,0,0,0,0,0.0,0.0
