DBMS_urnform,DBMS_common_name,snapshot_month,repo_state,github_repo_id,github_repo_link,open_source_license,open_source_license_state,manu_labeled_flag,match_state
vyhodb,vyhodb,202408,VALID_NUMERIC_REPO_ID,531145841,igor-bul/vyhodb,Y,ELIGIBLE,Y_auto,X_Single
vyhodb,vyhodb,202409,VALID_NUMERIC_REPO_ID,531145841,igor-bul/vyhodb,Y,ELIGIBLE,Y_auto,X_Single
vyhodb,vyhodb,202410,VALID_NUMERIC_REPO_ID,531145841,igor-bul/vyhodb,Y,ELIGIBLE,Y_auto,X_Single
wakandadb,WakandaDB,202401,BLANK_REPO_ID,,-,Y,ELIGIBLE,Y_auto,Y_Single
wakandadb,WakandaDB,202402,BLANK_REPO_ID,,-,Y,ELIGIBLE,Y_auto,Y_Single
wakandadb,WakandaDB,202403,BLANK_REPO_ID,,-,Y,ELIGIBLE,Y_auto,Y_Single
wakandadb,WakandaDB,202404,BLANK_REPO_ID,,-,Y,ELIGIBLE,Y_auto,Y_Single
wakandadb,WakandaDB,202405,BLANK_REPO_ID,,-,Y,ELIGIBLE,Y_auto,Y_Single
wakandadb,WakandaDB,202406,BLANK_REPO_ID,,-,Y,ELIGIBLE,Y_auto,Y_Single
wakandadb,WakandaDB,202407,BLANK_REPO_ID,,-,Y,ELIGIBLE,Y_auto,Y_Single
wakandadb,WakandaDB,202408,BLANK_REPO_ID,,-,Y,ELIGIBLE,Y_auto,Y_Single
wakandadb,WakandaDB,202409,BLANK_REPO_ID,,-,Y,ELIGIBLE,Y_auto,Y_Single
wakandadb,WakandaDB,202410,BLANK_REPO_ID,,-,Y,ELIGIBLE,Y_auto,Y_Single
warp-10,Warp 10,202401,VALID_NUMERIC_REPO_ID,50594316,senx/warp10-platform,Y,ELIGIBLE,Y_auto,Normal
warp-10,Warp 10,202402,VALID_NUMERIC_REPO_ID,50594316,senx/warp10-platform,Y,ELIGIBLE,Y_auto,Normal
warp-10,Warp 10,202403,VALID_NUMERIC_REPO_ID,50594316,senx/warp10-platform,Y,ELIGIBLE,Y_auto,Normal
warp-10,Warp 10,202404,VALID_NUMERIC_REPO_ID,50594316,senx/warp10-platform,Y,ELIGIBLE,Y_auto,Normal
warp-10,Warp 10,202405,VALID_NUMERIC_REPO_ID,50594316,senx/warp10-platform,Y,ELIGIBLE,Y_auto,Normal
warp-10,Warp 10,202406,VALID_NUMERIC_REPO_ID,50594316,senx/warp10-platform,Y,ELIGIBLE,Y_auto,Normal
warp-10,Warp 10,202407,VALID_NUMERIC_REPO_ID,50594316,senx/warp10-platform,Y,ELIGIBLE,Y_auto,Normal
warp-10,Warp 10,202408,VALID_NUMERIC_REPO_ID,50594316,senx/warp10-platform,Y,ELIGIBLE,Y_auto,Normal
warp-10,Warp 10,202409,VALID_NUMERIC_REPO_ID,50594316,senx/warp10-platform,Y,ELIGIBLE,Y_auto,Normal
warp-10,Warp 10,202410,VALID_NUMERIC_REPO_ID,50594316,senx/warp10-platform,Y,ELIGIBLE,Y_auto,Normal
weaviate,Weaviate,202401,VALID_NUMERIC_REPO_ID,55072677,semi-technologies/weaviate,Y,ELIGIBLE,Y_auto,Normal
weaviate,Weaviate,202402,VALID_NUMERIC_REPO_ID,55072677,semi-technologies/weaviate,Y,ELIGIBLE,Y_auto,Normal
weaviate,Weaviate,202403,VALID_NUMERIC_REPO_ID,55072677,semi-technologies/weaviate,Y,ELIGIBLE,Y_auto,Normal
weaviate,Weaviate,202404,VALID_NUMERIC_REPO_ID,55072677,semi-technologies/weaviate,Y,ELIGIBLE,Y_auto,Normal
weaviate,Weaviate,202405,VALID_NUMERIC_REPO_ID,55072677,semi-technologies/weaviate,Y,ELIGIBLE,Y_auto,Normal
weaviate,Weaviate,202406,VALID_NUMERIC_REPO_ID,55072677,semi-technologies/weaviate,Y,ELIGIBLE,Y_auto,Normal
weaviate,Weaviate,202407,VALID_NUMERIC_REPO_ID,55072677,semi-technologies/weaviate,Y,ELIGIBLE,Y_auto,Normal
weaviate,Weaviate,202408,VALID_NUMERIC_REPO_ID,55072677,semi-technologies/weaviate,Y,ELIGIBLE,Y_auto,Normal
weaviate,Weaviate,202409,VALID_NUMERIC_REPO_ID,55072677,semi-technologies/weaviate,Y,ELIGIBLE,Y_auto,Normal
weaviate,Weaviate,202410,VALID_NUMERIC_REPO_ID,55072677,semi-technologies/weaviate,Y,ELIGIBLE,Y_auto,Normal
webscalesql,WebScaleSQL,202401,BLANK_REPO_ID,,webscalesql/webscalesql-5.6,Y,ELIGIBLE,Y_auto,X_Single
webscalesql,WebScaleSQL,202402,BLANK_REPO_ID,,webscalesql/webscalesql-5.6,Y,ELIGIBLE,Y_auto,X_Single
webscalesql,WebScaleSQL,202403,BLANK_REPO_ID,,webscalesql/webscalesql-5.6,Y,ELIGIBLE,Y_auto,X_Single
webscalesql,WebScaleSQL,202404,BLANK_REPO_ID,,webscalesql/webscalesql-5.6,Y,ELIGIBLE,Y_auto,X_Single
webscalesql,WebScaleSQL,202405,BLANK_REPO_ID,,webscalesql/webscalesql-5.6,Y,ELIGIBLE,Y_auto,X_Single
webscalesql,WebScaleSQL,202406,BLANK_REPO_ID,,webscalesql/webscalesql-5.6,Y,ELIGIBLE,Y_auto,X_Single
webscalesql,WebScaleSQL,202407,BLANK_REPO_ID,,webscalesql/webscalesql-5.6,Y,ELIGIBLE,Y_auto,X_Single
webscalesql,WebScaleSQL,202408,BLANK_REPO_ID,,webscalesql/webscalesql-5.6,Y,ELIGIBLE,Y_auto,X_Single
webscalesql,WebScaleSQL,202409,BLANK_REPO_ID,,webscalesql/webscalesql-5.6,Y,ELIGIBLE,Y_auto,X_Single
webscalesql,WebScaleSQL,202410,BLANK_REPO_ID,,webscalesql/webscalesql-5.6,Y,ELIGIBLE,Y_auto,X_Single
whitedb,WhiteDB,202401,VALID_NUMERIC_REPO_ID,10153163,priitj/whitedb,Y,ELIGIBLE,Y_auto,Normal
whitedb,WhiteDB,202402,VALID_NUMERIC_REPO_ID,10153163,priitj/whitedb,Y,ELIGIBLE,Y_auto,Normal
whitedb,WhiteDB,202403,VALID_NUMERIC_REPO_ID,10153163,priitj/whitedb,Y,ELIGIBLE,Y_auto,Normal
whitedb,WhiteDB,202404,VALID_NUMERIC_REPO_ID,10153163,priitj/whitedb,Y,ELIGIBLE,Y_auto,Normal
whitedb,WhiteDB,202405,VALID_NUMERIC_REPO_ID,10153163,priitj/whitedb,Y,ELIGIBLE,Y_auto,Normal
whitedb,WhiteDB,202406,VALID_NUMERIC_REPO_ID,10153163,priitj/whitedb,Y,ELIGIBLE,Y_auto,Normal
whitedb,WhiteDB,202407,VALID_NUMERIC_REPO_ID,10153163,priitj/whitedb,Y,ELIGIBLE,Y_auto,Normal
whitedb,WhiteDB,202408,VALID_NUMERIC_REPO_ID,10153163,priitj/whitedb,Y,ELIGIBLE,Y_auto,Normal
whitedb,WhiteDB,202409,VALID_NUMERIC_REPO_ID,10153163,priitj/whitedb,Y,ELIGIBLE,Y_auto,Normal
whitedb,WhiteDB,202410,VALID_NUMERIC_REPO_ID,10153163,priitj/whitedb,Y,ELIGIBLE,Y_auto,Normal
wiredtiger,WiredTiger,202401,VALID_NUMERIC_REPO_ID,2944302,wiredtiger/wiredtiger,Y,ELIGIBLE,Y_auto,X_Single
wiredtiger,WiredTiger,202402,VALID_NUMERIC_REPO_ID,2944302,wiredtiger/wiredtiger,Y,ELIGIBLE,Y_auto,X_Single
wiredtiger,WiredTiger,202403,VALID_NUMERIC_REPO_ID,2944302,wiredtiger/wiredtiger,Y,ELIGIBLE,Y_auto,X_Single
wiredtiger,WiredTiger,202404,VALID_NUMERIC_REPO_ID,2944302,wiredtiger/wiredtiger,Y,ELIGIBLE,Y_auto,X_Single
