seed_order,seed_repo_id,seed_repo_name,filename,relation_rows,reference_rows,reference_admitted_rows,reference_admitted_events,reference_out_of_seed_rows,reference_out_of_seed_events,all_admitted_rows,all_out_of_seed_rows,all_missing_event_repo_rows,all_invalid_event_repo_rows,source_seed_mismatch_after_admission,affected_source_seed
174,534109388,EuclidOLAP/EuclidOLAP,EuclidOLAP_EuclidOLAP_2023.csv,3081,152,152,152,0,0,3081,0,0,0,0,NO
175,259542436,LineairDB/LineairDB,LineairDB_LineairDB_2023.csv,2419,526,526,254,0,0,2419,0,0,0,0,NO
176,45732002,jnidzwetzki/bboxdb,jnidzwetzki_bboxdb_2023.csv,2989,1145,1145,272,0,0,2989,0,0,0,0,NO
177,223462217,resilientdb/resilientdb,resilientdb_resilientdb_2023.csv,3459,214,214,192,0,0,3459,0,0,0,0,NO
178,108110,mongodb/mongo,mongodb_mongo_2023.csv,46838,4830,4830,2707,0,0,46838,0,0,0,0,NO
179,266515876,armink/FlashDB,armink_FlashDB_2023.csv,1878,144,144,83,0,0,1878,0,0,0,0,NO
180,4407129,postgis/postgis,postgis_postgis_2023.csv,8137,1669,1669,801,0,0,8137,0,0,0,0,NO
181,606125384,paypal/junodb,paypal_junodb_2023.csv,4093,240,240,117,0,0,4093,0,0,0,0,NO
182,298920362,oracle/nosql-java-sdk,oracle_nosql-java-sdk_2023.csv,1874,88,88,45,0,0,1874,0,0,0,0,NO
183,22475123,amark/gun,amark_gun_2023.csv,2537,208,208,139,0,0,2537,0,0,0,0,NO
184,270858421,juji-io/datalevin,juji-io_datalevin_2023.csv,3077,140,140,111,0,0,3077,0,0,0,0,NO
185,454981666,streamnative/oxia,streamnative_oxia_2023.csv,1908,349,349,91,0,0,1908,0,0,0,0,NO
186,443220240,tinyplex/tinybase,tinyplex_tinybase_2023.csv,4438,414,414,95,0,0,4438,0,0,0,0,NO
187,55072677,semi-technologies/weaviate,semi-technologies_weaviate_2023.csv,2046,591,591,113,0,0,2046,0,0,0,0,NO
188,453191009,ostafen/clover,ostafen_clover_2023.csv,1109,83,83,61,0,0,1109,0,0,0,0,NO
189,16189524,OpenNMS/newts,OpenNMS_newts_2023.csv,2173,656,656,152,0,0,2173,0,0,0,0,NO
190,19271154,JetBrains/xodus,JetBrains_xodus_2023.csv,4574,43,43,40,0,0,4574,0,0,0,0,NO
191,574694308,RhizomeDB/rs-rhizome,RhizomeDB_rs-rhizome_2023.csv,1340,222,222,125,0,0,1340,0,0,0,0,NO
192,23405758,google/leveldb,google_leveldb_2023.csv,5966,67,67,41,0,0,5966,0,0,0,0,NO
193,496505424,apache/incubator-horaedb,apache_incubator-horaedb_2023.csv,907,92,92,64,0,0,907,0,0,0,0,NO
194,21985130,OpenHFT/Chronicle-Map,OpenHFT_Chronicle-Map_2023.csv,3001,1075,1075,147,0,0,3001,0,0,0,0,NO
195,6452529,rethinkdb/rethinkdb,rethinkdb_rethinkdb_2023.csv,1593,151,151,80,0,0,1593,0,0,0,0,NO
196,90541149,heavyai/heavydb,heavyai_heavydb_2023.csv,1632,681,681,110,0,0,1632,0,0,0,0,NO
197,206686299,rayokota/kareldb,rayokota_kareldb_2023.csv,1863,530,530,130,0,0,1863,0,0,0,0,NO
198,166387176,polypheny/Polypheny-DB,polypheny_Polypheny-DB_2023.csv,4185,198,198,121,0,0,4185,0,0,0,0,NO
199,642912355,awa-ai/awadb,awa-ai_awadb_2023.csv,1305,91,91,71,0,0,1305,0,0,0,0,NO
200,186332888,vearch/vearch,vearch_vearch_2023.csv,1944,196,196,71,0,0,1944,0,0,0,0,NO
201,349627612,khonsulabs/bonsaidb,khonsulabs_bonsaidb_2023.csv,1420,115,115,71,0,0,1420,0,0,0,0,NO
202,387622288,elliotchance/vsql,elliotchance_vsql_2023.csv,1776,198,198,105,0,0,1776,0,0,0,0,NO
203,791522,basho/riak_kv,basho_riak_kv_2023.csv,948,126,126,84,0,0,948,0,0,0,0,NO
204,3766330,pentaho/mondrian,pentaho_mondrian_2023.csv,2656,454,454,62,0,0,2656,0,0,0,0,NO
205,49401416,spacejam/sled,spacejam_sled_2023.csv,2120,100,100,75,0,0,2120,0,0,0,0,NO
206,73235061,rayokota/hgraphdb,rayokota_hgraphdb_2023.csv,1488,395,395,121,0,0,1488,0,0,0,0,NO
207,4254338,graphite-project/graphite-web,graphite-project_graphite-web_2023.csv,1032,206,206,68,0,0,1032,0,0,0,0,NO
208,606800919,firstbatchxyz/hollowdb,firstbatchxyz_hollowdb_2023.csv,942,58,58,43,0,0,942,0,0,0,0,NO
209,138411034,genjidb/genji,genjidb_genji_2023.csv,898,106,106,53,0,0,898,0,0,0,0,NO
210,137869753,appy-one/acebase,appy-one_acebase_2023.csv,1206,326,326,80,0,0,1206,0,0,0,0,NO
211,927442,postgres/postgres,postgres_postgres_2023.csv,29213,8826,8826,3425,0,0,29213,0,0,0,0,NO
212,276042304,skytable/skytable,skytable_skytable_2023.csv,1202,110,110,61,0,0,1202,0,0,0,0,NO
213,639434928,cfu288/SylvieJS,cfu288_SylvieJS_2023.csv,1498,345,345,112,0,0,1498,0,0,0,0,NO
214,9074548,orbisgis/h2gis,orbisgis_h2gis_2023.csv,713,93,93,59,0,0,713,0,0,0,0,NO
215,321853986,Tencent/Tendis,Tencent_Tendis_2023.csv,732,47,47,32,0,0,732,0,0,0,0,NO
