source_project_id,dimension,category,count,within_object_share
48833910,event_type,PullRequestReviewEvent,9,0.0007445400397088021
48833910,event_type,PushEvent,2521,0.20855393778954334
48833910,event_type,ReleaseEvent,125,0.010340833884844474
48833910,source_entity_type,CommitComment,1,8.272667107875579e-05
48833910,source_entity_type,Issue,626,0.05178689609530113
48833910,source_entity_type,IssueComment,2598,0.21492389146260754
48833910,source_entity_type,PullRequest,6109,0.5053772336201191
48833910,source_entity_type,PullRequestReview,9,0.0007445400397088021
48833910,source_entity_type,PullRequestReviewComment,99,0.008189940436796824
48833910,source_entity_type,Push,2521,0.20855393778954334
48833910,source_entity_type,Release,125,0.010340833884844474
496817075,event_type,IssueCommentEvent,274,0.042526773242278444
496817075,event_type,IssuesEvent,128,0.019866521806611828
496817075,event_type,PullRequestEvent,609,0.09452118578302034
496817075,event_type,PullRequestReviewCommentEvent,74,0.011485332919447462
496817075,event_type,PullRequestReviewEvent,20,0.0031041440322830977
496817075,event_type,PushEvent,4918,0.7633090175384137
496817075,event_type,ReleaseEvent,420,0.06518702467794506
496817075,source_entity_type,Issue,128,0.019866521806611828
