project_id,repo_name,category_label,total_reference_records,self_reference_records,external_project_reference_records,non_project_reference_records,unresolved_target_reference_records,self_reference_ratio,external_reference_share,non_project_reference_share,active_issue_pr_count,comment_related_unique_source_count,comment_body_ref_count,comment_per_issue,comment_reference_density,project_age_years_at_2023_end
6452529,rethinkdb/rethinkdb,Document,151,61,16,37,37,0.40397350993377484,0.5960264900662252,0.24503311258278146,42,78,115,1.8571428571428572,1.4743589743589745,11.16495550992471
90541149,heavyai/heavydb,Relational,681,60,40,559,22,0.0881057268722467,0.9118942731277533,0.8208516886930984,51,88,254,1.7254901960784315,2.8863636363636362,6.647501711156742
206686299,rayokota/kareldb,Relational,530,119,216,88,107,0.22452830188679246,0.7754716981132076,0.1660377358490566,55,59,143,1.0727272727272728,2.4237288135593222,4.314852840520191
166387176,polypheny/Polypheny-DB,"Relational,Document,Graph",198,162,3,4,29,0.8181818181818182,0.18181818181818182,0.020202020202020204,22,32,38,1.4545454545454546,1.1875,4.947296372347707
642912355,awa-ai/awadb,"Document,Vector",91,89,0,0,2,0.978021978021978,0.02197802197802198,0.0,8,10,11,1.25,1.1,0.6160164271047228
186332888,vearch/vearch,"Document,Vector",196,117,26,32,21,0.5969387755102041,0.4030612244897959,0.16326530612244897,32,44,84,1.375,1.9090909090909092,4.632443531827516
349627612,khonsulabs/bonsaidb,Key-value,115,72,14,15,14,0.6260869565217392,0.3739130434782609,0.13043478260869565,31,42,65,1.3548387096774193,1.5476190476190477,2.7789185489390826
387622288,elliotchance/vsql,Relational,198,165,3,24,6,0.8333333333333334,0.16666666666666666,0.12121212121212122,13,27,34,2.076923076923077,1.2592592592592593,2.4476386036960984
791522,basho/riak_kv,Key-value,126,71,29,17,9,0.5634920634920635,0.4365079365079365,0.1349206349206349,30,62,97,2.066666666666667,1.564516129032258,13.440109514031485
3766330,pentaho/mondrian,Relational,454,31,0,384,39,0.06828193832599119,0.9317180616740088,0.8458149779735683,24,38,426,1.5833333333333333,11.210526315789474,11.780971937029431
49401416,spacejam/sled,Key-value,100,52,22,14,12,0.52,0.48,0.14,40,67,93,1.675,1.3880597014925373,7.967145790554415
73235061,rayokota/hgraphdb,Graph,395,77,150,102,66,0.1949367088607595,0.8050632911392405,0.2582278481012658,52,63,157,1.2115384615384615,2.492063492063492,7.14031485284052
4254338,graphite-project/graphite-web,Time Series,206,97,28,62,19,0.470873786407767,0.529126213592233,0.30097087378640774,38,51,153,1.3421052631578947,3.0,11.646817248459959
606800919,firstbatchxyz/hollowdb,Key-value,58,41,4,4,9,0.7068965517241379,0.29310344827586204,0.06896551724137931,15,18,20,1.2,1.1111111111111112,0.840520191649555
138411034,genjidb/genji,Document,106,40,1,58,7,0.37735849056603776,0.6226415094339622,0.5471698113207547,27,37,84,1.3703703703703705,2.27027027027027,5.519507186858316
137869753,appy-one/acebase,Document,326,145,20,120,41,0.4447852760736196,0.5552147239263804,0.36809815950920244,31,46,130,1.4838709677419355,2.8260869565217392,5.530458590006845
927442,postgres/postgres,"Object Oriented,Relational",8826,271,12,8140,403,0.030704736007251304,0.9692952639927487,0.9222750963063675,36,41,47,1.1388888888888888,1.146341463414634,13.273100616016427
276042304,skytable/skytable,Key-value,110,22,18,26,44,0.2,0.8,0.23636363636363636,19,58,107,3.0526315789473686,1.8448275862068966,3.4989733059548254
639434928,cfu288/SylvieJS,Document,345,143,93,92,17,0.4144927536231884,0.5855072463768116,0.26666666666666666,51,83,179,1.6274509803921569,2.1566265060240966,0.6379192334017796
9074548,orbisgis/h2gis,Spatial,93,56,9,8,20,0.6021505376344086,0.3978494623655914,0.08602150537634409,20,27,38,1.35,1.4074074074074074,10.757015742642025
321853986,Tencent/Tendis,Key-value,47,18,1,21,7,0.3829787234042553,0.6170212765957447,0.44680851063829785,22,31,43,1.4090909090909092,1.3870967741935485,3.0362765229295
865412,OpenTSDB/opentsdb,"Key-value,Time Series",80,29,5,12,34,0.3625,0.6375,0.15,20,39,72,1.95,1.8461538461538463,13.34154688569473
