project_id,repo_name,category_label,total_reference_records,self_reference_records,external_project_reference_records,non_project_reference_records,unresolved_target_reference_records,self_reference_ratio,external_reference_share,non_project_reference_share,active_issue_pr_count,comment_related_unique_source_count,comment_body_ref_count,comment_per_issue,comment_reference_density,project_age_years_at_2023_end,out_degree,out_strength,seed_to_seed_relation_count,seed_to_seed_weight,seed_to_expanded_relation_count,seed_to_expanded_weight,target_diversity,source_concentration_hhi,top_target_weight_share,in_degree,in_strength,target_coverage,undirected_degree,undirected_strength,local_clustering,betweenness_brokerage,in_lcc
44781140,greenplum-db/gpdb,Relational,8454,3668,181,2714,1891,0.4338774544594275,0.5661225455405725,0.3210314643955524,1674,3505,5343,2.09378733572282,1.5243937232524964,,49,181,1,74,48,107,49,0.18421293611306128,0.4088397790055249,2.0,29.0,0.006802721088435374,51.0,210.0,0.004705882352941176,0.015478468242676409,True
48833910,tikv/tikv,Key-value,28059,11634,454,11704,4267,0.4146263231048861,0.5853736768951139,0.4171210663245304,2151,9400,23555,4.370060437006043,2.505851063829787,7.997262149212868,66,454,3,199,63,255,66,0.18954375206194574,0.41409691629955947,6.0,131.0,0.02040816326530612,71.0,585.0,0.01851106639839034,0.015693296106680868,True
5349565,prestodb/presto,"Wide column,Relational,Key-value,Document",16517,7306,750,3149,5312,0.4423321426409154,0.5576678573590845,0.1906520554580129,2182,6476,15717,2.9679193400549955,2.4269610870907967,11.38945927446954,67,750,6,467,61,283,67,0.23607111111111115,0.3933333333333333,6.0,297.0,0.02040816326530612,71.0,1047.0,0.022937625754527163,0.02766657808529981,True
385634291,grafana/mimir,Relational,70392,23294,3707,17403,25988,0.3309182861688828,0.6690817138311171,0.2472297988407773,2243,4527,11326,2.018279090503789,2.501877623149989,2.4640657084188917,122,3707,2,309,120,3398,122,0.03971714432315477,0.0917183706501214,2.0,14.0,0.006802721088435374,123.0,3721.0,0.007063841130214581,0.027700398403374436,True
6358188,apache/druid,"Wide column,Relational",13605,8832,389,2058,2326,0.6491730981256891,0.3508269018743109,0.1512679162072767,2513,4949,9780,1.9693593314763231,1.9761567993534048,11.184120465434631,116,389,1,1,115,388,116,0.04064868722781373,0.14910025706940874,2.0,3.0,0.006802721088435374,118.0,392.0,0.004056207446037955,0.02078282331805424,True
11008207,vitessio/vitess,Relational,104513,23273,2379,60422,18439,0.222680432099356,0.7773195679006439,0.5781290365791816,2393,4801,8484,2.006268282490597,1.767131847531764,10.507871321013004,94,2379,3,4,91,2375,94,0.2398521390314333,0.337536780159731,1.0,1.0,0.003401360544217687,95.0,2380.0,0.0035834266517357225,0.022087809870646718,True
19961085,apache/pinot,Relational,26744,5267,302,18142,3033,0.1969413700269219,0.8030586299730781,0.6783577624887825,2018,4851,22705,2.4038652130822595,4.680478251906823,9.61533196440794,125,302,7,13,118,289,125,0.022849875005482218,0.076158940397351,1.0,12.0,0.003401360544217687,125.0,314.0,0.007483870967741935,0.024005988527669643,True
138754790,duckdb/duckdb,Relational,10952,6207,543,1256,2946,0.5667457998539079,0.433254200146092,0.1146822498173849,2336,4332,6121,1.8544520547945205,1.4129732225300091,5.51129363449692,208,543,4,10,204,533,208,0.013630705886742027,0.0423572744014733,14.0,92.0,0.047619047619047616,219.0,635.0,0.0033932386577855975,0.05907110256475119,True
480217156,GreptimeTeam/greptimedb,Time Series,22146,7852,357,7880,6057,0.3545561275173846,0.6454438724826154,0.3558204641921791,2103,5216,9282,2.480266286257727,1.7795245398773003,1.7193702943189595,114,357,11,76,103,281,114,0.0338409873753423,0.09523809523809523,1.0,15.0,0.003401360544217687,114.0,372.0,0.012575687005123428,0.02166360085874831,True
105944401,yugabyte/yugabyte-db,"Relational,Key-value",26542,10003,261,13970,2308,0.376874387762791,0.623125612237209,0.5263356190189135,3673,5787,9249,1.5755513204465017,1.5982374287195438,6.234086242299795,88,261,7,63,81,198,88,0.05221590992498643,0.1839080459770115,7.0,7.0,0.023809523809523808,95.0,268.0,0.012094064949608062,0.01815138754803808,True
2944302,wiredtiger/wiredtiger,Key-value,15332,12891,19,1096,1326,0.8407905035220454,0.1592094964779546,0.0714844769110357,808,2560,3758,3.1683168316831685,1.46796875,12.057494866529774,9,19,1,6,8,13,9,0.2188365650969529,0.3157894736842105,0.0,0.0,0.0,9.0,19.0,0.0,0.00045610366815433375,True
422821402,FerretDB/FerretDB,Document,26053,5543,982,16009,3519,0.212758607454036,0.787241392545964,0.6144781790964572,1943,4891,20422,2.5172413793103448,4.1754242486199145,2.1656399726214923,100,982,2,12,98,970,100,0.13306108735238362,0.3319755600814664,1.0,1.0,0.003401360544217687,100.0,983.0,0.0024242424242424242,0.03558603200346387,True
