source_project_id,target_project_id,weight,multiplicity,is_self_loop,source_is_seed,target_is_seed
114619105,237409088,1,1,False,True,False
114619105,241092383,6,6,False,True,False
114619105,257485422,5,5,False,True,False
114619105,2604249,1,1,False,True,False
114619105,2606873,1,1,False,True,False
114619105,262289747,1,1,False,True,False
114619105,264043501,1,1,False,True,False
114619105,273382715,1,1,False,True,False
114619105,27729926,1,1,False,True,False
114619105,287743349,2,2,False,True,False
114619105,288485773,5,5,False,True,False
114619105,288487894,1,1,False,True,False
114619105,2888818,4,4,False,True,False
114619105,295598569,3,3,False,True,False
114619105,310611,2,2,False,True,False
114619105,31933589,1,1,False,True,False
114619105,32538871,2,2,False,True,False
114619105,32741886,6,6,False,True,False
114619105,33753632,2,2,False,True,False
114619105,33884891,6,6,False,True,False
114619105,34685800,12,12,False,True,False
114619105,34839383,1,1,False,True,True
114619105,35697461,3,3,False,True,False
114619105,365244061,2,2,False,True,False
114619105,38829639,10,10,False,True,False
114619105,392714630,1,1,False,True,False
114619105,39464018,5,5,False,True,False
114619105,410716689,4,4,False,True,False
114619105,42875585,2,2,False,True,False
114619105,435375021,4,4,False,True,False
114619105,436912897,1,1,False,True,False
114619105,442405131,1,1,False,True,False
114619105,444403283,2,2,False,True,False
114619105,45423600,8,8,False,True,False
114619105,46328956,1,1,False,True,False
114619105,467336443,2,2,False,True,False
114619105,476372928,2,2,False,True,False
114619105,4950187,1,1,False,True,False
114619105,496145136,3,3,False,True,False
114619105,501687,1,1,False,True,False
114619105,50244301,1,1,False,True,False
114619105,503240750,1,1,False,True,False
114619105,50565430,1,1,False,True,False
114619105,50904245,1,1,False,True,False
114619105,509367294,1,1,False,True,False
114619105,51905353,3,3,False,True,False
114619105,522385121,1,1,False,True,False
114619105,52300938,2,2,False,True,False
114619105,527960367,1,1,False,True,False
114619105,537800,2,2,False,True,False
114619105,548730031,1,1,False,True,False
114619105,56353740,1,1,False,True,False
114619105,5695907,1,1,False,True,False
114619105,582822129,2,2,False,True,False
114619105,583525400,2,2,False,True,False
114619105,586840327,1,1,False,True,False
114619105,588458626,2,2,False,True,False
114619105,595272637,1,1,False,True,False
114619105,602818637,3,3,False,True,False
114619105,608077937,1,1,False,True,False
114619105,6207167,3,3,False,True,False
114619105,62117812,1,1,False,True,False
114619105,627263225,3,3,False,True,False
114619105,63044524,1,1,False,True,False
114619105,63749548,1,1,False,True,False
114619105,640116148,3,3,False,True,False
114619105,6742151,2,2,False,True,False
114619105,6818061,5,5,False,True,False
114619105,68181694,1,1,False,True,False
114619105,686261276,2,2,False,True,False
114619105,688272353,2,2,False,True,False
114619105,707560051,2,2,False,True,False
114619105,72700804,1,1,False,True,False
114619105,731515911,3,3,False,True,False
114619105,76474200,43,43,False,True,False
114619105,79096817,2,2,False,True,False
114619105,86742497,1,1,False,True,False
114619105,9283927,4,4,False,True,False
114619105,9290699,1,1,False,True,False
114619105,95084858,1,1,False,True,False
114619105,95343930,5,5,False,True,False
114619105,98013453,5,5,False,True,False
116522453,10153163,1,1,False,True,False
116522453,116522453,7,7,True,True,True
11654790,11654790,2,2,True,True,True
11654790,146468829,2,2,False,True,False
11654790,639434928,2,2,False,True,True
11654790,75425073,1,1,False,True,True
11695619,10610797,12,12,False,True,False
11695619,10637896,30,30,False,True,False
11695619,11208105,2,2,False,True,False
11695619,113677984,10,10,False,True,False
11695619,113678093,12,12,False,True,False
11695619,113678112,11,11,False,True,False
11695619,113678133,15,15,False,True,False
11695619,113678153,6,6,False,True,False
11695619,113678275,1,1,False,True,False
11695619,113678303,3,3,False,True,False
11695619,113678408,17,17,False,True,False
11695619,113678674,29,29,False,True,False
11695619,113678772,3,3,False,True,False
11695619,113678857,6,6,False,True,False
11695619,113678874,5,5,False,True,False
11695619,116641240,2,2,False,True,False
11695619,11695619,961,961,True,True,True
11695619,11696086,1,1,False,True,False
11695619,11696117,1,1,False,True,False
11695619,11753735,1,1,False,True,False
11695619,11966919,11,11,False,True,False
11695619,1334607,14,14,False,True,False
11695619,136060027,1,1,False,True,False
11695619,13998001,1,1,False,True,False
11695619,140482476,4,4,False,True,False
11695619,14281190,1,1,False,True,False
11695619,146575135,3,3,False,True,False
11695619,14696091,43,43,False,True,False
11695619,147511063,3,3,False,True,False
11695619,147809547,1,1,False,True,False
11695619,155740984,1,1,False,True,False
11695619,16296100,1,1,False,True,False
11695619,166397747,1,1,False,True,False
11695619,18128548,34,34,False,True,False
11695619,181510702,12,12,False,True,False
11695619,184636558,3,3,False,True,False
11695619,186765948,2,2,False,True,False
11695619,192625955,10,10,False,True,False
11695619,196057608,3,3,False,True,False
11695619,196680411,7,7,False,True,False
11695619,197814629,14,14,False,True,False
11695619,200458979,1,1,False,True,False
11695619,2045207,196,196,False,True,False
11695619,2049404,2,2,False,True,False
11695619,206320,6,6,False,True,False
11695619,206339,4,4,False,True,False
11695619,206371,22,22,False,True,False
11695619,206427,13,13,False,True,False
11695619,210029529,1,1,False,True,False
11695619,215566462,10,10,False,True,False
11695619,24499046,16,16,False,True,False
11695619,25720744,1,1,False,True,False
11695619,2752522,2,2,False,True,False
