source_project_id,target_project_id,src_entity_id,src_entity_type,tar_entity_id,tar_entity_type,event_id,event_type,event_time,relation_label_repr,source_evidence_file
41986369,41986369,P_41986369.12269899781,Push,PR_41986369#40048,PullRequest,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,I_41986369#40047,Issue,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,PR_41986369#40190,PullRequest,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,I_41986369#40183,Issue,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,PR_41986369#40052,PullRequest,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,I_41986369#40189,Issue,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,PR_41986369#35625,PullRequest,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,I_41986369#35624,Issue,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,PR_41986369#40197,PullRequest,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,I_41986369#40194,Issue,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,PR_41986369#40175,PullRequest,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,I_41986369#40191,Issue,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,PR_41986369#40210,PullRequest,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,PR_41986369#40156,PullRequest,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,I_41986369#40155,Issue,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,PR_41986369#38246,PullRequest,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,I_41986369#15000,Issue,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,I_41986369#15002,Issue,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,PR_41986369#40151,PullRequest,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,I_41986369#40150,Issue,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12200204656,Push,PR_41986369#39714,PullRequest,26266231561,PushEvent,2023-01-06 12:49:35,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12200204656,Push,I_41986369#40381,Issue,26266231561,PushEvent,2023-01-06 12:49:35,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12200204656,Push,PR_41986369#40354,PullRequest,26266231561,PushEvent,2023-01-06 12:49:35,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
