repo_id,repo_name,repo_name_used,i_pr_rec_cnt,repo_created_at,category_label,activity_count,evidence_filename,evidence_available,evidence_path,seed_boundary_reason
125234630,danielealbano/cachegrand,danielealbano/cachegrand,472,2018-03-14T15:33:02Z,Key-value,472,danielealbano_cachegrand_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/danielealbano_cachegrand_2023.csv,activity_threshold_and_frozen_evidence_available
7502247,lealone/Lealone,lealone/Lealone,451,2013-01-08T13:57:08Z,Relational,451,lealone_Lealone_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/lealone_Lealone_2023.csv,activity_threshold_and_frozen_evidence_available
664816265,scratchdata/ScratchDB,scratchdata/ScratchDB,448,2023-07-10T20:15:01Z,Document,448,scratchdata_ScratchDB_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/scratchdata_ScratchDB_2023.csv,activity_threshold_and_frozen_evidence_available
316690542,MonetDB/MonetDB,MonetDB/MonetDB,438,2020-11-28T08:35:36Z,"Wide column,Relational",438,MonetDB_MonetDB_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/MonetDB_MonetDB_2023.csv,activity_threshold_and_frozen_evidence_available
92329433,canonical/dqlite,canonical/dqlite,436,2017-05-24T19:35:52Z,Relational,436,canonical_dqlite_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/canonical_dqlite_2023.csv,activity_threshold_and_frozen_evidence_available
79901405,objectbox/objectbox-java,objectbox/objectbox-java,430,2017-01-24T10:29:48Z,Object Oriented,430,objectbox_objectbox-java_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/objectbox_objectbox-java_2023.csv,activity_threshold_and_frozen_evidence_available
61153677,m3db/m3,m3db/m3,420,2016-06-14T20:29:45Z,"Relational,Time Series",420,m3db_m3_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/m3db_m3_2023.csv,activity_threshold_and_frozen_evidence_available
7083240,orientechnologies/orientdb,orientechnologies/orientdb,407,2012-12-09T20:33:47Z,"Key-value,Document,Graph,Object Oriented",407,orientechnologies_orientdb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/orientechnologies_orientdb_2023.csv,activity_threshold_and_frozen_evidence_available
24494032,mysql/mysql-server,mysql/mysql-server,404,2014-09-26T09:31:03Z,Relational,404,mysql_mysql-server_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/mysql_mysql-server_2023.csv,activity_threshold_and_frozen_evidence_available
664133375,epsilla-cloud/vectordb,epsilla-cloud/vectordb,386,2023-07-09T02:28:31Z,Array,386,epsilla-cloud_vectordb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/epsilla-cloud_vectordb_2023.csv,activity_threshold_and_frozen_evidence_available
195895847,hivedb/hive,hivedb/hive,382,2019-07-08T22:47:01Z,Key-value,382,hivedb_hive_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/hivedb_hive_2023.csv,activity_threshold_and_frozen_evidence_available
23315232,mbdavid/LiteDB,mbdavid/LiteDB,369,2014-08-25T13:49:30Z,Document,369,mbdavid_LiteDB_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/mbdavid_LiteDB_2023.csv,activity_threshold_and_frozen_evidence_available
143253020,microsoft/FASTER,microsoft/FASTER,357,2018-08-02T06:38:41Z,Key-value,357,microsoft_FASTER_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/microsoft_FASTER_2023.csv,activity_threshold_and_frozen_evidence_available
441299511,reductstore/reductstore,reductstore/reductstore,339,2021-12-23T21:27:52Z,"Key-value,Time Series",339,reductstore_reductstore_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/reductstore_reductstore_2023.csv,activity_threshold_and_frozen_evidence_available
1374129,BaseXdb/basex,BaseXdb/basex,337,2011-02-16T15:02:14Z,"Document,Native XML",337,BaseXdb_basex_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/BaseXdb_basex_2023.csv,activity_threshold_and_frozen_evidence_available
534109388,EuclidOLAP/EuclidOLAP,EuclidOLAP/EuclidOLAP,319,,Array,319,EuclidOLAP_EuclidOLAP_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/EuclidOLAP_EuclidOLAP_2023.csv,activity_threshold_and_frozen_evidence_available
259542436,LineairDB/LineairDB,LineairDB/LineairDB,310,2020-04-28T05:41:20Z,Key-value,310,LineairDB_LineairDB_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/LineairDB_LineairDB_2023.csv,activity_threshold_and_frozen_evidence_available
45732002,jnidzwetzki/bboxdb,jnidzwetzki/bboxdb,303,2015-11-07T10:28:59Z,Array,303,jnidzwetzki_bboxdb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/jnidzwetzki_bboxdb_2023.csv,activity_threshold_and_frozen_evidence_available
223462217,resilientdb/resilientdb,resilientdb/resilientdb,302,2019-11-22T18:28:12Z,Document,302,resilientdb_resilientdb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/resilientdb_resilientdb_2023.csv,activity_threshold_and_frozen_evidence_available
108110,mongodb/mongo,mongodb/mongo,300,2009-01-15T16:15:18Z,Document,300,mongodb_mongo_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/mongodb_mongo_2023.csv,activity_threshold_and_frozen_evidence_available
