project_id,community_id,community_size
224374031,7,72
22442659,21,66
22446506,0,581
224592887,1,194
224674233,14,109
22475123,5,802
22478116,22,132
22479136,8,12
22484898,4,232
22525984,3,40
22531552,16,71
225419211,5,802
225497783,2,106
22558387,20,9
225690537,13,823
22571838,0,581
225885766,16,71
22608597,3,40
226151984,4,232
226167176,9,23
226354201,2,106
226417174,0,581
22660515,9,23
226668025,7,72
226724438,5,802
22684655,21,66
226992639,5,802
22700054,2,106
22711503,4,232
227300707,1,194
22734848,0,581
227460322,8,12
227465592,1,194
227542815,0,581
227805015,2,106
228117837,4,232
228390865,1,194
22841549,0,581
228435476,2,106
22844864,10,28
22855240,2,106
228829544,0,581
22883472,6,14
228868155,8,12
228908078,9,23
228925870,2,106
229011395,5,802
229030654,2,106
229145432,14,109
229315360,4,232
22938893,8,12
22959046,25,133
229877920,0,581
229959677,2,106
230075785,17,85
23013460,8,12
230219297,3,40
230310173,0,581
23050110,3,40
230595891,19,453
23061798,1,194
230737113,12,32
230795797,3,40
230847070,2,106
23086893,4,232
23088740,1,194
23096959,8,12
230993380,2,106
231150319,14,109
231268,15,234
231798478,4,232
231824392,9,23
23206290,3,40
232099133,2,106
232160635,8,12
23235250,3,40
23247808,13,823
2325298,4,232
232539879,2,106
23254194,31,66
23277480,1,194
2328181,9,23
233147271,18,10
23315232,20,9
233320086,6,14
23335281,28,133
23351479,3,40
233563057,1,194
23356570,25,133
23357588,3,40
23362234,2,106
23368445,18,10
233938764,1,194
2339555,4,232
233984636,5,802
23405758,6,14
234167893,1,194
23418517,1,194
234270760,1,194
23465977,14,109
234727608,9,23
234798675,4,232
234839116,2,106
234890761,4,232
23496893,11,84
23500865,2,106
235075339,18,10
235590808,0,581
235638810,1,194
23572616,6,14
2358108,3,40
235819600,4,232
235822784,13,823
235860204,1,194
235866201,1,194
235901813,4,232
2359378,11,84
236055696,2,106
236106066,13,823
23622727,2,106
23641816,4,232
2365549,6,14
236570305,1,194
236570369,1,194
23664475,13,823
23670203,6,14
236824540,23,25
236828515,10,28
236953554,0,581
237159,3,40
23727431,8,12
237360465,3,40
237402828,12,32
237409088,1,194
237459124,5,802
237523442,2,106
237547093,15,234
237617513,1,194
237707489,16,71
237844675,0,581
23797421,1,194
23821422,1,194
238290996,0,581
238372891,12,32
23837751,11,84
2383782,1,194
23845253,2,106
238683847,5,802
239253118,2,106
23930639,3,40
239381576,2,106
239416281,4,232
2394379,3,40
239469102,6,14
2396600,1,194
239770490,1,194
239781275,13,823
23982180,19,453
24000265,15,234
2401217,27,504
240147659,12,32
240151150,28,133
240215314,7,72
240317939,26,284
240328897,3,40
240466,1,194
240488592,4,232
240543078,5,802
24063576,20,9
240819531,20,9
240846407,1,194
240912221,1,194
240949621,0,581
240971435,5,802
2410676,0,581
241092383,16,71
241163393,4,232
241268229,28,133
24130045,0,581
241506979,0,581
24167016,3,40
24182261,4,232
241853427,1,194
241903378,2,106
24195339,3,40
242094505,1,194
242202166,2,106
2423322,1,194
242479774,0,581
242581770,8,12
242754476,9,23
242765280,8,12
242776849,7,72
242828875,0,581
242856167,13,823
242923033,4,232
242923372,2,106
242970900,1,194
2430537,14,109
243452117,1,194
24349832,1,194
243538828,0,581
24355992,0,581
243668393,5,802
243808437,3,40
24385451,8,12
244123773,3,40
2441517,1,194
24420506,4,232
244496643,28,133
244514240,4,232
244554606,5,802
24494032,11,84
244958571,2,106
244979294,1,194
24499046,3,40
245388716,3,40
24560307,0,581
245704608,9,23
246133980,8,12
246338488,1,194
24653868,3,40
24693026,25,133
247111689,25,133
24725038,0,581
247399816,0,581
247430773,2,106
24747723,17,85
247587757,8,12
247590545,2,106
2476162,11,84
24776728,1,194
24806180,1,194
2484785,5,802
248537383,0,581
248790367,2,106
248868816,8,12
2489216,3,40
24894902,6,14
249098063,3,40
249152133,2,106
249188235,2,106
249319182,9,23
249466377,23,25
249512698,14,109
24963784,1,194
249722766,8,12
24993138,2,106
249956697,21,66
250110282,3,40
250110372,3,40
250213286,17,85
25026453,20,9
2504175,10,28
250552313,18,10
250652185,8,12
250782700,4,232
251312202,18,10
251420886,2,106
251584398,0,581
2516976,0,581
25174671,21,66
251747948,12,32
25175723,19,453
252325176,16,71
2524488,3,40
252494861,3,40
252522672,4,232
252523575,3,40
252604066,8,12
252649194,0,581
252650176,8,12
252745692,2,106
25287349,26,284
2529486,6,14
25299152,13,823
253103317,1,194
253290187,0,581
25345759,11,84
253614369,0,581
253650720,8,12
25372501,3,40
254116626,2,106
254149837,16,71
25417964,2,106
254351989,0,581
2544305,7,72
254450741,1,194
254578428,10,28
25459400,7,72
254623350,4,232
254774075,0,581
254865575,7,72
254894997,2,106
25494583,2,106
255043026,0,581
255071936,5,802
255086434,1,194
25516648,0,581
255262523,4,232
255546948,25,133
255592249,5,802
255983152,0,581
256061008,6,14
2560988,3,40
256133315,2,106
256256737,3,40
256328151,5,802
2564522,3,40
256534527,16,71
256736474,4,232
256942539,5,802
257044091,3,40
257130655,5,802
257145326,12,32
25719147,2,106
25720744,3,40
257240218,1,194
257240581,1,194
257313499,12,32
257485422,13,823
2575826,1,194
25777459,0,581
25780780,24,23
257933864,12,32
2580768,6,14
2580769,1,194
